taxon	method	n_significant	n_tested	replication_score	direction_consistent	mean_effect
d__denovo7251	hurdle	1	4	0.25	True	10.852238
d__denovo9116	hurdle	1	4	0.25	True	-2.572045
d__denovo11845	hurdle	1	4	0.25	True	7.7642805
d__denovo11713	hurdle	1	4	0.25	True	1.922852
d__denovo19108	hurdle	1	4	0.25	True	7.693084
d__denovo27479	hurdle	1	4	0.25	True	15.665227
d__denovo12306	hurdle	1	4	0.25	True	-7.693898
d__denovo4900	hurdle	1	4	0.25	False	-4.875584
d__denovo7621	hurdle	1	4	0.25	True	-13.243625
d__denovo16866	hurdle	1	4	0.25	True	-14.148558
d__denovo21468	hurdle	1	4	0.25	True	3.932054
d__denovo7907	hurdle	1	4	0.25	True	-8.672655
d__denovo9635	hurdle	1	4	0.25	False	
d__denovo10026	hurdle	1	4	0.25	True	-2.781574
d__denovo20233	hurdle	1	4	0.25	True	13.945567
d__denovo18191	hurdle	1	4	0.25	True	-15.918368
d__denovo8438	hurdle	1	4	0.25	True	1.503676
d__denovo574	hurdle	1	4	0.25	False	-3333333347.147497
d__denovo17498	hurdle	1	4	0.25	True	27.622237
d__denovo15107	hurdle	1	4	0.25	True	-6.653016
d__denovo11363	hurdle	1	4	0.25	True	-2.232759
d__denovo5304	hurdle	1	4	0.25	True	1.043666
d__denovo27315	hurdle	1	4	0.25	True	19.716628
d__denovo17767	hurdle	1	4	0.25	True	-2.608687
d__denovo19608	hurdle	1	4	0.25	True	-13.442899
d__denovo6695	hurdle	1	4	0.25	True	2.592046
d__denovo14167	hurdle	1	4	0.25	True	2.596362
d__denovo11617	hurdle	1	4	0.25	True	2.911052
d__denovo15052	hurdle	1	4	0.25	True	-6.01225
d__denovo13559	hurdle	1	4	0.25	True	1.365296
d__denovo21519	hurdle	1	4	0.25	True	3.48268
d__denovo6416	hurdle	1	4	0.25	True	-1.767868
d__denovo8539	hurdle	2	4	0.5	True	-9.9498945
d__denovo7698	hurdle	1	4	0.25	True	-4.646115
d__denovo3374	hurdle	1	4	0.25	True	3.611675
d__denovo12868	hurdle	1	4	0.25	True	-10.416711
d__denovo9021	hurdle	1	4	0.25	True	3.459735
d__denovo4803	hurdle	1	4	0.25	False	4.3231185
d__denovo1987	hurdle	1	4	0.25	False	2.0357735
d__denovo18440	hurdle	1	4	0.25	True	8.68522
d__denovo18537	hurdle	1	4	0.25	True	-10.708644
d__denovo4021	hurdle	1	4	0.25	True	2.34189
d__denovo11540	hurdle	1	4	0.25	True	1.680314
d__denovo15310	hurdle	1	4	0.25	True	21.340253
d__denovo7996	hurdle	1	4	0.25	True	-1.738966
d__denovo1869	hurdle	1	4	0.25	True	-2.287799
d__denovo17274	hurdle	1	4	0.25	True	5.610684
d__denovo77	hurdle	1	4	0.25	False	-0.39382425
d__denovo14995	hurdle	1	4	0.25	True	15.728559
d__denovo26160	hurdle	1	4	0.25	True	-5.782132
d__denovo17303	hurdle	1	4	0.25	True	16.350874
d__denovo544	hurdle	1	4	0.25	False	-2.104363
d__denovo7897	hurdle	1	4	0.25	True	-27.854842
d__denovo9452	hurdle	1	4	0.25	True	-2.536461
d__denovo16602	hurdle	1	4	0.25	True	-11.808009
d__denovo23889	hurdle	1	4	0.25	True	-3.47765
d__denovo10119	hurdle	1	4	0.25	True	-4164126668.029006
d__denovo23783	hurdle	1	4	0.25	True	-9.121797
d__denovo21188	hurdle	1	4	0.25	True	-7.363541
d__denovo1428	hurdle	1	4	0.25	True	3.797381
d__denovo6954	hurdle	1	4	0.25	True	-5.804666
d__denovo23319	hurdle	1	4	0.25	True	-3.265601
d__denovo14064	hurdle	1	4	0.25	True	-2.829456
d__denovo2771	hurdle	1	4	0.25	True	1.451664
d__denovo17272	hurdle	1	4	0.25	True	-8.683203
d__denovo13214	hurdle	1	4	0.25	True	8.128237
d__denovo2944	hurdle	1	4	0.25	True	-2.727107
d__denovo13583	hurdle	1	4	0.25	True	-1.879289
d__denovo9429	hurdle	1	4	0.25	True	-10000000162.088516
d__denovo4946	hurdle	1	4	0.25	True	7.9431585
d__denovo7121	hurdle	1	4	0.25	True	0.8394105000000001
d__denovo11453	hurdle	1	4	0.25	True	-2.208497
d__denovo25338	hurdle	1	4	0.25	True	7.439404
d__denovo9569	hurdle	1	4	0.25	False	
d__denovo21728	hurdle	1	4	0.25	True	21.497646
d__denovo9003	hurdle	1	4	0.25	False	-3.1323055
d__denovo7319	hurdle	1	4	0.25	True	-8.486787
d__denovo3343	hurdle	1	4	0.25	True	-1.193363
d__denovo16293	hurdle	1	4	0.25	True	23.141337
d__denovo25326	hurdle	1	4	0.25	True	7.999559
d__denovo11830	hurdle	1	4	0.25	True	-36.781795
d__denovo8600	hurdle	1	4	0.25	True	3.580989
d__denovo7516	hurdle	1	4	0.25	True	-5.103549500000001
d__denovo14650	hurdle	1	4	0.25	True	3.088692
d__denovo30606	hurdle	1	4	0.25	True	17.562906
d__denovo1064	hurdle	1	4	0.25	True	-3.65981
d__denovo3198	hurdle	1	4	0.25	True	-1.4092155000000002
d__denovo8652	hurdle	1	4	0.25	True	-9.369168
d__denovo12589	hurdle	1	4	0.25	True	10.2366
d__denovo8587	hurdle	1	4	0.25	True	-3.2652805
d__denovo252	hurdle	1	4	0.25	True	3.1221845
d__denovo1071	hurdle	1	4	0.25	True	3.3306135
d__denovo13964	hurdle	1	4	0.25	True	-8.124221
d__denovo10032	hurdle	1	4	0.25	False	-5000000080.577897
d__denovo6421	hurdle	1	4	0.25	True	-12.371698
d__denovo6042	hurdle	1	4	0.25	True	-7.915224
d__denovo2172	hurdle	1	4	0.25	True	5.5122715
d__denovo3255	hurdle	1	4	0.25	False	1.058691
d__denovo9255	hurdle	1	4	0.25	True	-7.792801
d__denovo14867	hurdle	1	4	0.25	True	-12.664144
d__denovo16834	hurdle	1	4	0.25	True	-10.002116
d__denovo15397	hurdle	1	4	0.25	True	-1.86054
d__denovo19718	hurdle	1	4	0.25	True	2.761421
d__denovo24627	hurdle	1	4	0.25	True	3.002254
d__denovo22403	hurdle	1	4	0.25	True	16.025793
d__denovo23143	hurdle	1	4	0.25	True	8.478059
d__denovo17999	hurdle	1	4	0.25	True	2.947786
d__denovo14575	hurdle	1	4	0.25	True	1.844726
d__denovo2632	hurdle	1	4	0.25	True	1.2377704999999999
d__denovo7871	hurdle	1	4	0.25	True	-8.775263
d__denovo15298	hurdle	1	4	0.25	True	9.187269
d__denovo6765	hurdle	1	4	0.25	True	-15.090513
d__denovo13022	hurdle	1	4	0.25	True	2.567345
d__denovo260	hurdle	1	4	0.25	False	0.5432313333333333
d__denovo4059	hurdle	1	4	0.25	False	1.1095455
d__denovo17342	hurdle	1	4	0.25	True	6.313497
d__denovo11253	hurdle	1	4	0.25	True	-2.595661
d__denovo13405	hurdle	1	4	0.25	True	-1.94413
d__denovo1770	hurdle	1	4	0.25	True	3.794229
d__denovo5653	hurdle	1	4	0.25	True	16.97784
d__denovo1398	hurdle	1	4	0.25	False	1.027691
d__denovo3170	hurdle	1	4	0.25	False	1.1107575
d__denovo22157	hurdle	1	4	0.25	True	2.069382
d__denovo13667	hurdle	1	4	0.25	True	2.33057
d__denovo14016	hurdle	1	4	0.25	True	2.176809
d__denovo21508	hurdle	1	4	0.25	True	-5714285770.230785
d__denovo7018	hurdle	1	4	0.25	False	1.5142134999999999
d__denovo4954	hurdle	1	4	0.25	False	-4.4192915
d__denovo5652	hurdle	1	4	0.25	False	4.2707165
d__denovo11927	hurdle	1	4	0.25	True	1.817272
d__denovo10818	hurdle	1	4	0.25	True	-5.773008
d__denovo9900	hurdle	1	4	0.25	True	3.874279
d__denovo17346	hurdle	1	4	0.25	True	16.170256
d__denovo7850	hurdle	1	4	0.25	False	2500000157.109105
d__denovo4940	hurdle	1	4	0.25	True	-1.854359
d__denovo9509	hurdle	1	4	0.25	False	-8.631327
d__denovo17379	hurdle	1	4	0.25	True	8.109483
d__denovo18507	hurdle	1	4	0.25	True	2.6921
d__denovo4349	hurdle	1	4	0.25	True	-2598.306451
d__denovo2281	hurdle	1	4	0.25	True	-3.31767
d__denovo22160	hurdle	1	4	0.25	True	2.948658
d__denovo22195	hurdle	1	4	0.25	True	8.781429
d__denovo22178	hurdle	1	4	0.25	True	21.190761
d__denovo16806	hurdle	1	4	0.25	True	19.118567
d__denovo8236	hurdle	1	4	0.25	True	-1.983926
d__denovo3124	hurdle	1	4	0.25	True	8.528024
d__denovo10850	hurdle	1	4	0.25	False	
d__denovo13232	hurdle	1	4	0.25	True	-15.471467
d__denovo7723	hurdle	1	4	0.25	True	-1.658946
d__denovo8635	hurdle	1	4	0.25	True	-2.997277
d__denovo821	hurdle	1	4	0.25	False	1.1484355
d__denovo2437	hurdle	1	4	0.25	False	8.4844885
d__denovo2690	hurdle	1	4	0.25	True	-1.60993
d__denovo20093	hurdle	1	4	0.25	True	-1.877355
d__denovo19597	hurdle	1	4	0.25	True	-7.989823
d__denovo11262	hurdle	1	4	0.25	True	7.2326535000000005
d__denovo7041	hurdle	1	4	0.25	False	1.3997715
d__denovo5788	hurdle	1	4	0.25	True	-1.703638
d__denovo10336	hurdle	1	4	0.25	True	2.644435
d__denovo9131	hurdle	1	4	0.25	True	4.765218
d__denovo2197	hurdle	1	4	0.25	True	2.275481
d__denovo30029	hurdle	1	4	0.25	True	3.466543
d__denovo270	hurdle	1	4	0.25	False	3.5573955
d__denovo6450	hurdle	1	4	0.25	True	-1.87307
d__denovo9065	hurdle	1	4	0.25	False	-9.582024
d__denovo17108	hurdle	1	4	0.25	True	-6.496878
d__denovo15465	hurdle	1	4	0.25	True	-8.809369
d__denovo9893	hurdle	1	4	0.25	True	8331628093.625004
d__denovo22517	hurdle	1	4	0.25	True	17.134325
d__denovo219	hurdle	1	4	0.25	False	0.7020836666666667
d__denovo21010	hurdle	1	4	0.25	True	-7.774514
d__denovo11764	hurdle	1	4	0.25	True	7.551641
d__denovo14689	hurdle	1	4	0.25	True	-1.858201
d__denovo9944	hurdle	1	4	0.25	True	-3.447505
d__denovo10694	hurdle	1	4	0.25	True	2.033822
d__denovo8515	hurdle	1	4	0.25	True	2.016667
d__denovo17146	hurdle	1	4	0.25	True	-1.973052
d__denovo13468	hurdle	1	4	0.25	True	-1.964377
d__denovo5561	hurdle	1	4	0.25	False	-0.615818
d__denovo16862	hurdle	1	4	0.25	True	20.416136
d__denovo11644	hurdle	1	4	0.25	True	-2.260064
d__denovo9984	hurdle	1	4	0.25	True	-4999845196.052316
d__denovo333	hurdle	1	4	0.25	True	4.073805
d__denovo23032	hurdle	1	4	0.25	True	8.126095
d__denovo11314	hurdle	1	4	0.25	True	-6.261778
d__denovo25211	hurdle	1	4	0.25	True	3.002254
d__denovo11441	hurdle	1	4	0.25	True	10.31291
d__denovo16932	hurdle	1	4	0.25	True	3.736305
d__denovo16996	hurdle	1	4	0.25	True	-3.670752
d__denovo14972	hurdle	1	4	0.25	True	10.496774
d__denovo6234	hurdle	1	4	0.25	True	-1.7576515
d__denovo14919	hurdle	1	4	0.25	True	25.388977
d__denovo4167	hurdle	1	4	0.25	False	1.615934
d__denovo5290	hurdle	1	4	0.25	True	5.6417185
d__denovo14041	hurdle	1	4	0.25	True	-8.837903
d__denovo7412	hurdle	1	4	0.25	False	1.094372
d__denovo23679	hurdle	1	4	0.25	True	20.704069
d__denovo4066	hurdle	1	4	0.25	False	-2.3123605
d__denovo999	hurdle	1	4	0.25	False	
d__denovo5545	hurdle	1	4	0.25	True	-2.430183
d__denovo12042	hurdle	1	4	0.25	True	9.755726
d__denovo13645	hurdle	1	4	0.25	True	-2.044085
d__denovo2627	hurdle	1	4	0.25	True	-1.3344140000000002
d__denovo11626	hurdle	1	4	0.25	True	-4.554321
d__denovo5123	hurdle	2	4	0.5	False	1.1633459999999998
d__denovo20955	hurdle	1	4	0.25	True	-2.895489
d__denovo6602	hurdle	1	4	0.25	False	-0.6624585000000001
d__denovo16150	hurdle	1	4	0.25	True	12.166155
d__denovo22644	hurdle	1	4	0.25	True	10.440317
d__denovo21578	hurdle	1	4	0.25	True	-6.416614
d__denovo24075	hurdle	1	4	0.25	True	27.578261
d__denovo25489	hurdle	1	4	0.25	True	-2.277981
d__denovo14629	hurdle	1	4	0.25	True	14.729031
d__denovo10779	hurdle	1	4	0.25	True	-20.557447
d__denovo24045	hurdle	1	4	0.25	True	6.598659
d__denovo14910	hurdle	1	4	0.25	True	-13.561593
d__denovo8738	hurdle	1	4	0.25	True	-17.798244
d__denovo27378	hurdle	1	4	0.25	True	-5714285770.230785
d__denovo7509	hurdle	1	4	0.25	True	-2.2669550000000003
d__denovo20581	hurdle	1	4	0.25	True	-4.67971
d__denovo7202	hurdle	1	4	0.25	False	3.9130885000000006
d__denovo25914	hurdle	1	4	0.25	True	9.777867
d__denovo6984	hurdle	1	4	0.25	True	-8.478059
d__denovo7691	hurdle	1	4	0.25	True	5000000076.126343
d__denovo16661	hurdle	1	4	0.25	True	-7.363541
d__denovo9166	hurdle	1	4	0.25	True	-2.195206
d__denovo7696	hurdle	1	4	0.25	True	-1.7929905000000002
d__denovo9674	hurdle	1	4	0.25	True	-9999711595.297695
d__denovo4251	hurdle	1	4	0.25	False	1.7875615
d__denovo4948	hurdle	1	4	0.25	False	-10.857578
d__denovo13638	hurdle	1	4	0.25	True	-4.020809
d__denovo7302	hurdle	1	4	0.25	False	-2.247645
d__denovo9486	hurdle	1	4	0.25	True	-2.720621
d__denovo28719	hurdle	1	4	0.25	True	10.46994
d__denovo4118	hurdle	1	4	0.25	True	6.180606
d__denovo368	hurdle	1	4	0.25	True	-1.67075
d__denovo21371	hurdle	1	4	0.25	True	-13.442413
d__denovo26495	hurdle	1	4	0.25	True	19.716628
d__denovo17098	hurdle	1	4	0.25	True	-9.939006
d__denovo25350	hurdle	1	4	0.25	True	8750000084.808832
d__denovo4939	hurdle	1	4	0.25	False	-6.1557885
d__denovo253	hurdle	1	4	0.25	False	2.2802496666666667
d__denovo18596	hurdle	1	4	0.25	True	11.755464
d__denovo23837	hurdle	1	4	0.25	True	-9.660895
d__denovo20658	hurdle	1	4	0.25	True	-1.934634
d__denovo8193	hurdle	1	4	0.25	True	-8.1090185
d__denovo7570	hurdle	1	4	0.25	True	1.523789
d__denovo17858	hurdle	1	4	0.25	True	21.932476
d__denovo6002	hurdle	1	4	0.25	True	2.4429629999999998
d__denovo7071	hurdle	1	4	0.25	False	0.8028775
d__denovo8931	hurdle	1	4	0.25	False	-6.2704685
d__denovo100	hurdle	1	4	0.25	False	0.43519800000000003
d__denovo10922	hurdle	1	4	0.25	True	12.721608
d__denovo17559	hurdle	1	4	0.25	True	-8.264715
d__denovo8717	hurdle	1	4	0.25	True	-1.576176
d__denovo14467	hurdle	1	4	0.25	True	6.191994
d__denovo11265	hurdle	1	4	0.25	True	1.532073
d__denovo8248	hurdle	1	4	0.25	True	-9.115558
d__denovo23116	hurdle	1	4	0.25	True	12.931827
d__denovo20319	hurdle	1	4	0.25	True	-515404.289368
d__denovo4658	hurdle	1	4	0.25	True	-3.22864
d__denovo12424	hurdle	1	4	0.25	True	14.659035
d__denovo9740	hurdle	1	4	0.25	True	-3.083246
d__denovo7000	hurdle	1	4	0.25	False	0.9612465
d__denovo14528	hurdle	1	4	0.25	True	-17.460057
d__denovo12082	hurdle	1	4	0.25	True	-2.817437
d__denovo7575	hurdle	1	4	0.25	False	
d__denovo3964	hurdle	1	4	0.25	True	-3.7208475
d__denovo8897	hurdle	1	4	0.25	True	-4.588781
d__denovo609	hurdle	1	4	0.25	False	-0.5473020000000001
d__denovo15863	hurdle	1	4	0.25	True	-2.459044
d__denovo12068	hurdle	1	4	0.25	True	-3.327569
d__denovo17886	hurdle	1	4	0.25	True	16.14986
d__denovo5629	hurdle	1	4	0.25	False	-5000000112.849071
d__denovo7557	hurdle	1	4	0.25	True	-6.366692
d__denovo12322	hurdle	1	4	0.25	True	-14.06191
d__denovo262	hurdle	1	4	0.25	False	2.7295535
d__denovo8885	hurdle	1	4	0.25	True	7.458794
d__denovo10438	hurdle	1	4	0.25	True	-3.131562
d__denovo2698	hurdle	1	4	0.25	True	-2.1869145
d__denovo8516	hurdle	1	4	0.25	False	
d__denovo3738	hurdle	1	4	0.25	True	-1.3349775000000002
d__denovo21024	hurdle	1	4	0.25	True	-6.329007
d__denovo6225	hurdle	1	4	0.25	False	
d__denovo11491	hurdle	1	4	0.25	True	-26.595486
d__denovo1851	hurdle	1	4	0.25	True	-1.627018
d__denovo2105	hurdle	1	4	0.25	True	-0.865192
d__denovo9193	hurdle	1	4	0.25	False	313.9320175
d__denovo13946	hurdle	1	4	0.25	True	-3.259313
d__denovo1599	hurdle	1	4	0.25	True	5.016876
d__denovo3712	hurdle	1	4	0.25	True	1.153297
d__denovo4483	hurdle	1	4	0.25	True	6.764419
d__denovo4670	hurdle	1	4	0.25	True	-4.730483
d__denovo18163	hurdle	1	4	0.25	True	-20.686226
d__denovo6877	hurdle	1	4	0.25	True	-1.82033
d__denovo7101	hurdle	1	4	0.25	True	2.134841
d__denovo677	hurdle	1	4	0.25	False	-2.0973805
d__denovo28429	hurdle	1	4	0.25	True	12.931827
d__denovo4762	hurdle	1	4	0.25	False	1.1079375
d__denovo46	hurdle	1	4	0.25	False	0.931829
d__denovo9070	hurdle	1	4	0.25	True	-4.696886
d__denovo3739	hurdle	1	4	0.25	True	2.473575
d__denovo20102	hurdle	1	4	0.25	True	12.502661
d__denovo9666	hurdle	1	4	0.25	True	-4.356404
d__denovo11894	hurdle	1	4	0.25	True	-11.045348
d__denovo14688	hurdle	1	4	0.25	True	-4.941238
d__denovo21810	hurdle	1	4	0.25	True	7.728222
d__denovo22167	hurdle	1	4	0.25	True	-16.244973
d__denovo28108	hurdle	1	4	0.25	True	13.243625
d__denovo27599	hurdle	1	4	0.25	True	3.090591
d__denovo17821	hurdle	1	4	0.25	True	3.947837
d__denovo14354	hurdle	1	4	0.25	True	-4.493438
d__denovo7010	hurdle	1	4	0.25	True	4.061408
d__denovo5485	hurdle	1	4	0.25	True	2.854775
d__denovo5717	hurdle	1	4	0.25	False	-2.2995099999999997
d__denovo15238	hurdle	1	4	0.25	True	-16.516557
d__denovo12994	hurdle	1	4	0.25	True	-3.551965
d__denovo20382	hurdle	1	4	0.25	True	-4.520774
d__denovo14761	hurdle	1	4	0.25	True	4.564593
d__denovo202	hurdle	2	4	0.5	False	2500000038.5605903
d__denovo6833	hurdle	1	4	0.25	True	-5.104003
d__denovo17219	hurdle	1	4	0.25	True	21.377255
d__denovo13741	hurdle	1	4	0.25	True	-5.57748
d__denovo6249	hurdle	2	4	0.5	True	-3.5907
d__denovo7524	hurdle	1	4	0.25	False	-0.8620994999999999
d__denovo2596	hurdle	1	4	0.25	True	-2.7074265000000004
d__denovo300	hurdle	1	4	0.25	True	1.206527
d__denovo9226	hurdle	1	4	0.25	False	-8.4558975
d__denovo9367	hurdle	1	4	0.25	True	1.688368
d__denovo18308	hurdle	1	4	0.25	True	-3.583156
d__denovo7727	hurdle	1	4	0.25	True	-5.3533505
d__denovo4539	hurdle	1	4	0.25	False	0.8209105
d__denovo7669	hurdle	1	4	0.25	True	5.316884
d__denovo17323	hurdle	1	4	0.25	True	14.098234
d__denovo8697	hurdle	1	4	0.25	True	-1.908308
d__denovo16554	hurdle	1	4	0.25	True	-18.370846
d__denovo17739	hurdle	1	4	0.25	True	-3.505275
d__denovo15376	hurdle	1	4	0.25	True	-13.694712
d__denovo24832	hurdle	1	4	0.25	True	16.670492
d__denovo2500	hurdle	1	4	0.25	True	6.1174165
d__denovo26630	hurdle	1	4	0.25	True	-4.844735
d__denovo18302	hurdle	1	4	0.25	True	17.505067
d__denovo3889	hurdle	1	4	0.25	True	3.871732
d__denovo15202	hurdle	1	4	0.25	True	10.213978
d__denovo4195	hurdle	1	4	0.25	True	2.280317
d__denovo19755	hurdle	1	4	0.25	True	9.159317
d__denovo23518	hurdle	1	4	0.25	True	11.359941
d__denovo1761	hurdle	1	4	0.25	True	-1.715052
d__denovo10535	hurdle	1	4	0.25	True	-9.554313
d__denovo6126	hurdle	1	4	0.25	False	-0.9942935
d__denovo9668	hurdle	1	4	0.25	True	-5.486935
d__denovo15765	hurdle	1	4	0.25	True	-10.902606
d__denovo21074	hurdle	1	4	0.25	True	4.538145
d__denovo10070	hurdle	1	4	0.25	True	2.394221
d__denovo11695	hurdle	1	4	0.25	True	-215249831.371674
d__denovo25080	hurdle	1	4	0.25	True	-10.060539
d__denovo24694	hurdle	1	4	0.25	True	3.090591
d__denovo8643	hurdle	1	4	0.25	True	17.798244
d__denovo8091	hurdle	1	4	0.25	True	-2.020508
d__denovo11968	hurdle	1	4	0.25	True	-14.061847
d__denovo5646	hurdle	1	4	0.25	True	-6.177024
d__denovo18998	hurdle	1	4	0.25	True	27.934069
d__denovo17127	hurdle	1	4	0.25	True	-9.821644
d__denovo8347	hurdle	1	4	0.25	True	-5.519499
d__denovo158	hurdle	1	4	0.25	False	-1.12809375
d__denovo1804	hurdle	1	4	0.25	False	0.9758705000000001
d__denovo7712	hurdle	1	4	0.25	True	4.375825
d__denovo23341	hurdle	1	4	0.25	True	-10000000064.555984
d__denovo8406	hurdle	1	4	0.25	True	6.909465
d__denovo24581	hurdle	1	4	0.25	True	25.49694
d__denovo13315	hurdle	1	4	0.25	True	4.161492
d__denovo21866	hurdle	1	4	0.25	True	-13.391715
d__denovo20330	hurdle	1	4	0.25	True	3.787731
d__denovo19902	hurdle	1	4	0.25	True	-16.861332
d__denovo23438	hurdle	1	4	0.25	True	10.258214
d__denovo10797	hurdle	1	4	0.25	False	
d__denovo11173	hurdle	1	4	0.25	True	2.662499
d__denovo24194	hurdle	1	4	0.25	True	-2.488309
d__denovo9605	hurdle	1	4	0.25	True	1.907637
d__denovo24314	hurdle	1	4	0.25	True	7.999559
d__denovo10907	hurdle	1	4	0.25	True	-4.956211
d__denovo5862	hurdle	1	4	0.25	True	1.621701
d__denovo5675	hurdle	1	4	0.25	True	-13.530631
d__denovo6928	hurdle	1	4	0.25	True	13.443158
d__denovo217	hurdle	1	4	0.25	False	-2.91875425
d__denovo2853	hurdle	1	4	0.25	True	1.957808
d__denovo5624	hurdle	1	4	0.25	True	15.814861
d__denovo12272	hurdle	1	4	0.25	True	-5.775912
d__denovo3578	hurdle	1	4	0.25	True	-1.233465
d__denovo13533	hurdle	1	4	0.25	True	8.676436
d__denovo4366	hurdle	1	4	0.25	False	-10.188192
d__denovo21717	hurdle	1	4	0.25	True	11.507058
d__denovo4189	hurdle	1	4	0.25	True	5.0763645
d__denovo7465	hurdle	1	4	0.25	True	1.834745
d__denovo18812	hurdle	1	4	0.25	True	-2.604261
d__denovo15087	hurdle	1	4	0.25	True	-2.046018
d__denovo28286	hurdle	1	4	0.25	True	8083663003.896044
d__denovo2212	hurdle	1	4	0.25	True	-3.2814795
d__denovo15324	hurdle	1	4	0.25	True	-7.444801
d__denovo6840	hurdle	1	4	0.25	True	-20.010957
d__denovo5957	hurdle	1	4	0.25	True	1.143858
d__denovo10938	hurdle	1	4	0.25	True	2.490181
d__denovo6072	hurdle	1	4	0.25	True	14.659343
d__denovo20325	hurdle	1	4	0.25	True	1.828646
d__denovo5380	hurdle	1	4	0.25	True	1.15592
d__denovo5893	hurdle	1	4	0.25	True	16.670492
d__denovo11013	hurdle	1	4	0.25	False	-8.261152
d__denovo10985	hurdle	1	4	0.25	True	6.513341
d__denovo12575	hurdle	1	4	0.25	True	-1.892171
d__denovo4850	hurdle	1	4	0.25	False	1.958947
d__denovo14286	hurdle	1	4	0.25	True	-4.575995
d__denovo1084	hurdle	1	4	0.25	False	1.285187
d__denovo13438	hurdle	1	4	0.25	True	3.973274
d__denovo18446	hurdle	1	4	0.25	True	5.108843
d__denovo14322	hurdle	1	4	0.25	True	8.592712
d__denovo7942	hurdle	1	4	0.25	True	4.051263
d__denovo8311	hurdle	1	4	0.25	False	5000000056.130798
d__denovo599	hurdle	1	4	0.25	False	1.484611
d__denovo14	hurdle	1	4	0.25	False	-0.9148057500000001
d__denovo8578	hurdle	1	4	0.25	True	1.830669
d__denovo20246	hurdle	1	4	0.25	True	-15.766122
d__denovo20956	hurdle	1	4	0.25	True	3.750946
d__denovo17940	hurdle	1	4	0.25	True	-9.773147
d__denovo15627	hurdle	1	4	0.25	True	11.420751
d__denovo10623	hurdle	2	4	0.5	True	-17.793667
d__denovo6357	hurdle	1	4	0.25	False	3.815832
d__denovo22269	hurdle	1	4	0.25	True	4.344574
d__denovo31267	hurdle	1	4	0.25	True	-7500000130.687302
d__denovo11982	hurdle	1	4	0.25	True	3.185479
d__denovo7854	hurdle	1	4	0.25	True	-10.920736
d__denovo5776	hurdle	1	4	0.25	True	-3.153538
d__denovo15294	hurdle	1	4	0.25	True	2.936767
d__denovo15017	hurdle	1	4	0.25	True	17.477114
d__denovo5416	hurdle	1	4	0.25	True	2.9788215
d__denovo15003	hurdle	1	4	0.25	True	-3.552026
d__denovo19884	hurdle	1	4	0.25	True	2.125561
d__denovo7981	hurdle	1	4	0.25	True	-5.556224
d__denovo19201	hurdle	1	4	0.25	True	10.403786
d__denovo7819	hurdle	1	4	0.25	True	1.999371
d__denovo7634	hurdle	1	4	0.25	True	-4.850726
d__denovo15451	hurdle	1	4	0.25	True	3.161762
d__denovo730	hurdle	1	4	0.25	True	-3.826509
d__denovo4614	hurdle	1	4	0.25	True	-1.819944
d__denovo11149	hurdle	1	4	0.25	True	4.624669
d__denovo13050	hurdle	1	4	0.25	True	4.22909
d__denovo184	hurdle	1	4	0.25	True	-5.481748333333333
d__denovo6496	hurdle	1	4	0.25	True	7.229948
d__denovo6569	hurdle	1	4	0.25	True	-5.785856
d__denovo13716	hurdle	1	4	0.25	True	-2.229814
d__denovo19500	hurdle	1	4	0.25	True	-6.536622
d__denovo9281	hurdle	1	4	0.25	True	-1.959989
d__denovo3614	hurdle	1	4	0.25	False	-1.7141994999999999
d__denovo585	hurdle	1	4	0.25	False	2775776737.6524434
d__denovo6221	hurdle	1	4	0.25	True	-1.1969455
d__denovo12953	hurdle	1	4	0.25	True	2.106171
d__denovo5691	hurdle	2	4	0.5	True	2.2348795
d__denovo18101	hurdle	1	4	0.25	True	-5714285785.959343
d__denovo15181	hurdle	1	4	0.25	True	14.057698
d__denovo8983	hurdle	1	4	0.25	True	2.486164
d__denovo12628	hurdle	1	4	0.25	True	-8.962567
d__denovo15461	hurdle	1	4	0.25	True	7.270969
d__denovo5434	hurdle	1	4	0.25	True	-12.876015
d__denovo13558	hurdle	1	4	0.25	True	-8.326775
d__denovo16110	hurdle	1	4	0.25	True	-4.796559
d__denovo18981	hurdle	1	4	0.25	True	1.462413
d__denovo225	hurdle	1	4	0.25	True	1.915279
d__denovo11820	hurdle	1	4	0.25	True	2.991632
d__denovo4404	hurdle	1	4	0.25	False	2.7174584999999998
d__denovo6435	hurdle	1	4	0.25	True	-3.001248
d__denovo14809	hurdle	1	4	0.25	True	-9.826179
d__denovo12669	hurdle	1	4	0.25	True	5.376006
d__denovo14738	hurdle	1	4	0.25	True	15.450608
d__denovo18926	hurdle	1	4	0.25	True	13.721934
d__denovo3996	hurdle	1	4	0.25	True	-3.001207
d__denovo8190	hurdle	1	4	0.25	True	6666666744.619452
d__denovo3019	hurdle	1	4	0.25	True	8.194736
d__denovo23912	hurdle	1	4	0.25	True	8.605717
d__denovo9097	hurdle	1	4	0.25	True	6666666744.619452
d__denovo20471	hurdle	1	4	0.25	True	-1.93679
d__denovo11417	hurdle	1	4	0.25	True	2.325156
d__denovo10921	hurdle	1	4	0.25	True	-8.828939
d__denovo21377	hurdle	1	4	0.25	True	909090833.602797
d__denovo5514	hurdle	1	4	0.25	False	-6.381695
d__denovo5846	hurdle	1	4	0.25	True	6.435884
