taxon	method	n_significant	n_tested	replication_score	direction_consistent	mean_effect
d__denovo9682	hurdle	1	4	0.25	True	6.139485
d__denovo340	hurdle	1	4	0.25	False	1.1596425
d__denovo15853	hurdle	1	4	0.25	True	11.426777
d__denovo96	hurdle	1	4	0.25	False	-1.349473
d__denovo18241	hurdle	1	4	0.25	True	2.250001
d__denovo17057	hurdle	1	4	0.25	True	-15.945083
d__denovo7613	hurdle	1	4	0.25	False	-5.185371
d__denovo11926	hurdle	1	4	0.25	True	-5.953581
d__denovo25775	hurdle	1	4	0.25	True	4.402219
d__denovo6017	hurdle	1	4	0.25	True	4.621285
d__denovo16657	hurdle	1	4	0.25	True	-24.440502
d__denovo17692	hurdle	1	4	0.25	True	4.90697
d__denovo5242	hurdle	1	4	0.25	False	-2.8545770000000004
d__denovo20816	hurdle	1	4	0.25	True	-6.435884
d__denovo27424	hurdle	1	4	0.25	True	-2.488309
d__denovo11665	hurdle	1	4	0.25	False	-107621403.623615
d__denovo15039	hurdle	1	4	0.25	True	-13.907037
d__denovo15099	hurdle	1	4	0.25	True	3.083697
d__denovo15935	hurdle	1	4	0.25	True	-15.529453
d__denovo8592	hurdle	1	4	0.25	False	5.422297
d__denovo10521	hurdle	1	4	0.25	True	4.512309
d__denovo8008	hurdle	2	4	0.5	False	0.31136750000000024
d__denovo3549	hurdle	1	4	0.25	True	5.798389
d__denovo4509	hurdle	1	4	0.25	False	-0.7346545
d__denovo9718	hurdle	1	4	0.25	False	2857142892.458197
d__denovo8828	hurdle	1	4	0.25	True	6.457567
d__denovo7007	hurdle	1	4	0.25	False	1.9756415
d__denovo11524	hurdle	1	4	0.25	True	-6.292862
d__denovo8218	hurdle	1	4	0.25	True	-1.419937
d__denovo17607	hurdle	1	4	0.25	True	-2.10351
d__denovo2405	hurdle	1	4	0.25	False	-0.8882009999999999
d__denovo11860	hurdle	1	4	0.25	True	3.723878
d__denovo18395	hurdle	1	4	0.25	True	7.087144
d__denovo2828	hurdle	1	4	0.25	False	1.5001134999999999
d__denovo10925	hurdle	1	4	0.25	True	-7.552814
d__denovo7944	hurdle	1	4	0.25	True	7.173032
d__denovo20754	hurdle	1	4	0.25	True	3.448278
d__denovo13109	hurdle	1	4	0.25	True	-10.873198
d__denovo14964	hurdle	1	4	0.25	True	-3.506105
d__denovo9745	hurdle	1	4	0.25	True	-13.190581
d__denovo4067	hurdle	1	4	0.25	True	-8.813438999999999
d__denovo10051	hurdle	1	4	0.25	False	-2.768818
d__denovo8316	hurdle	1	4	0.25	True	-14.530838
d__denovo11420	hurdle	1	4	0.25	True	-1.907531
d__denovo16627	hurdle	1	4	0.25	True	-2.152783
d__denovo6531	hurdle	1	4	0.25	True	2.112452
d__denovo7649	hurdle	1	4	0.25	False	-1.3085615
d__denovo6775	hurdle	1	4	0.25	True	2.405367
d__denovo6768	hurdle	1	4	0.25	True	1.2920850000000002
d__denovo4233	hurdle	1	4	0.25	True	9.0204475
d__denovo8415	hurdle	1	4	0.25	True	-3.801292
d__denovo3601	hurdle	1	4	0.25	True	-3.853629
d__denovo11789	hurdle	1	4	0.25	True	-14.061847
d__denovo10197	hurdle	1	4	0.25	True	7.639079
d__denovo7044	hurdle	2	4	0.5	True	-2.106485
d__denovo11204	hurdle	1	4	0.25	True	6.655189
d__denovo2798	hurdle	1	4	0.25	True	-1.248309
d__denovo14241	hurdle	1	4	0.25	True	3.273895
d__denovo12277	hurdle	1	4	0.25	True	-4.821903
d__denovo6843	hurdle	1	4	0.25	False	1.5805390000000001
d__denovo17789	hurdle	1	4	0.25	True	5.253546
d__denovo26641	hurdle	1	4	0.25	True	5714285770.230786
d__denovo20404	hurdle	1	4	0.25	True	-7.17011
d__denovo228	hurdle	1	4	0.25	True	1.518244
d__denovo21779	hurdle	1	4	0.25	True	-12.850665
d__denovo2748	hurdle	1	4	0.25	False	-0.7507055
d__denovo19569	hurdle	1	4	0.25	True	12.474739
d__denovo10010	hurdle	1	4	0.25	False	-2.0709645
d__denovo17423	hurdle	1	4	0.25	True	12.141893
d__denovo24745	hurdle	1	4	0.25	True	4.381025
d__denovo20998	hurdle	1	4	0.25	True	13.282241
d__denovo22973	hurdle	1	4	0.25	True	3.259755
d__denovo5704	hurdle	1	4	0.25	True	-7.545046
d__denovo17521	hurdle	1	4	0.25	True	-2.502014
d__denovo9874	hurdle	1	4	0.25	True	-2.078377
d__denovo9679	hurdle	1	4	0.25	True	3.844951
d__denovo13841	hurdle	1	4	0.25	True	12.721608
d__denovo18614	hurdle	1	4	0.25	True	4.392467
d__denovo2073	hurdle	1	4	0.25	True	-1.5409899999999999
d__denovo1121	hurdle	1	4	0.25	True	-1.3919265
d__denovo14182	hurdle	1	4	0.25	True	-4.547682
d__denovo10830	hurdle	1	4	0.25	True	-3.682268
d__denovo8994	hurdle	1	4	0.25	True	2.248987
d__denovo6387	hurdle	1	4	0.25	False	-1.5093815000000002
d__denovo17217	hurdle	1	4	0.25	True	-4.082154
d__denovo6312	hurdle	1	4	0.25	True	-2.265493
d__denovo21838	hurdle	1	4	0.25	True	3.651491
d__denovo2830	hurdle	1	4	0.25	False	-2.6141075000000003
d__denovo169	hurdle	1	4	0.25	False	
d__denovo22141	hurdle	1	4	0.25	True	-10.063954
d__denovo9028	hurdle	1	4	0.25	False	1.931248
d__denovo16087	hurdle	1	4	0.25	True	35.313185
d__denovo8368	hurdle	1	4	0.25	True	-2.595186
d__denovo1945	hurdle	1	4	0.25	False	-1.1734745000000002
d__denovo20491	hurdle	1	4	0.25	True	17.279898
d__denovo928	hurdle	1	4	0.25	False	0.8803745
d__denovo21916	hurdle	1	4	0.25	True	-10000000058.296211
d__denovo59	hurdle	1	4	0.25	False	-0.56691775
d__denovo26889	hurdle	1	4	0.25	True	20.674818
d__denovo7888	hurdle	1	4	0.25	True	7.173032
d__denovo12358	hurdle	1	4	0.25	True	-2.19971
d__denovo17327	hurdle	1	4	0.25	True	-8.351566
d__denovo3145	hurdle	1	4	0.25	True	5.911067
d__denovo18260	hurdle	1	4	0.25	True	-4.553226
d__denovo5613	hurdle	1	4	0.25	True	-7.601389
d__denovo12325	hurdle	1	4	0.25	True	-9.600427
d__denovo6547	hurdle	1	4	0.25	False	0.733426
d__denovo7148	hurdle	1	4	0.25	True	2.8024385
d__denovo4624	hurdle	1	4	0.25	True	10.196189
d__denovo13698	hurdle	1	4	0.25	True	2.065208
d__denovo335	hurdle	1	4	0.25	False	-0.4121873333333333
d__denovo7265	hurdle	1	4	0.25	True	1.3314165
d__denovo105	hurdle	1	4	0.25	False	2.4532843333333334
d__denovo11222	hurdle	1	4	0.25	True	-2.653899
d__denovo21056	hurdle	1	4	0.25	True	-15.569648
d__denovo25420	hurdle	1	4	0.25	True	8.691866
